property_id,url,property_type,price,rooms,area,state,has_open_fire,property_subtype,postal_code,locality,sale_type,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen
rbu16446,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbu16446,House,525000.0,3.0,290.0,Normal,,residence,2020.0,antwerp,standard,2.0,0.0,0.0,0.0,,
rbs95130,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs95130,House,549000.0,7.0,245.0,,,residence,2060.0,antwerp,standard,,,0.0,1.0,No,
rbu16486,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu16486,House,919000.0,5.0,387.0,To be renovated,,residence,2018.0,antwerp,standard,2.0,0.0,1.0,0.0,,
rbu16512,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu16512,House,445000.0,4.0,185.0,Normal,,residence,2660.0,hoboken,standard,,,,,,
rbu16914,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu16914,House,279000.0,5.0,119.0,Normal,,residence,2100.0,deurne,standard,2.0,0.0,1.0,1.0,,
rbu16729,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu16729,House,399000.0,3.0,220.0,,,residence,2180.0,ekeren,standard,,,,,,
rbu16621,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu16621,House,497200.0,3.0,228.0,To be renovated,,residence,2610.0,wilrijk,standard,,,,,,
rwc40525,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rwc40525,House,459500.0,4.0,168.0,Excellent,,residence,2100.0,deurne,standard,2.0,,1.0,1.0,,
rbu19867,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu19867,House,295000.0,2.0,134.0,To be renovated,,residence,2100.0,deurne,standard,2.0,0.0,0.0,1.0,,
rbu20194,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20194,House,349000.0,4.0,180.0,To be renovated,,residence,2170.0,merksem,standard,2.0,0.0,1.0,1.0,,
rbu20484,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu20484,House,490000.0,3.0,117.0,Fully renovated,,residence,2018.0,antwerp,standard,,,,,,
rbu20383,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20383,House,309000.0,3.0,159.0,To be renovated,,residence,2180.0,ekeren,standard,2.0,0.0,1.0,1.0,,
rbu20382,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20382,House,309000.0,3.0,167.0,Normal,,residence,2180.0,ekeren,standard,2.0,0.0,1.0,1.0,,
rbu20695,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20695,House,349000.0,5.0,189.0,,,residence,2660.0,hoboken,standard,2.0,,0.0,1.0,,
rbu20192,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20192,House,315000.0,4.0,186.0,Normal,,residence,2170.0,merksem,standard,2.0,0.0,1.0,1.0,,
rbu20697,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20697,House,355000.0,7.0,333.0,,,residence,2660.0,hoboken,standard,2.0,,1.0,0.0,,
rbu20703,https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbu20703,Other,1095000.0,4.0,,Fully renovated,,master-house,2018.0,antwerp,standard,,,,,,
rbu23166,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23166,House,199000.0,1.0,116.0,To be renovated,,residence,2660.0,hoboken,standard,2.0,0.0,0.0,0.0,,
rbu23653,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu23653,House,219000.0,2.0,134.0,To be renovated,,residence,2100.0,deurne,standard,2.0,0.0,0.0,1.0,,
rbu23315,https://immovlan.be/en/detail/master-house/for-sale/2018/antwerp/rbu23315,Other,665000.0,4.0,190.0,Fully renovated,,master-house,2018.0,antwerp,standard,,,,,,
rbt45088,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt45088,House,469000.0,2.0,238.0,Normal,,residence,2060.0,antwerp,standard,2.0,0.0,1.0,0.0,,
rbt48197,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt48197,House,495000.0,4.0,333.0,Normal,,residence,2060.0,antwerp,standard,2.0,0.0,1.0,1.0,,
rbt46918,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbt46918,House,165000.0,2.0,42.0,To be renovated,,residence,2060.0,antwerp,standard,2.0,0.0,0.0,0.0,,Partially equipped
rbt66718,https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbt66718,House,375000.0,4.0,184.0,To be renovated,,residence,2600.0,berchem,standard,3.0,0.0,0.0,0.0,,Partially equipped
rbt68986,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbt68986,House,973000.0,5.0,286.0,Fully renovated,,residence,2018.0,antwerp,standard,,,,,,
